"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"BRA",2001,2746361.55670610423752042,1194228307.44033938270072156
"BRA",2002,3507049.44035898774241597,1624101189.5148378979451186
"BRA",2003,3248526.73442800851998414,1488845267.8791877516832096
"BRA",2004,3848770.78970869974620607,1887603880.4180347336549517
"BRA",2005,3486562.70549620919575322,1815445473.4486749899604710
"BRA",2006,2876804.74696718429570736,1459737101.4356999733016717
"BRA",2007,2621820.17792643760485952,1273474115.4915718282231805
"BRA",2008,2444308.03831688727126584,1237236225.8329937722690780
"BRA",2009,1817901.23275871966646235,929961410.1117556444687744
"BRA",2010,2688896.17626596860659096,1371876086.5315318728467581
"BRA",2011,1923363.69454661673954881,1011306897.1537415346469371
"BRA",2012,2918633.14102396043247759,1487905823.7804847483860455
"BRA",2013,1945506.25269363577344551,996822803.2445610115246744
"BRA",2014,2693134.29548953197593589,1442015314.7790916528179175
"BRA",2015,2222772.41753093271952067,1279708953.3564290310723647
"BRA",2016,5378844.03454081377526207,3237876508.2520632312908945
"BRA",2017,4519833.17143371325309327,2633355719.4173603778924340
"BRA",2018,2948462.08026938044983771,1814375336.2167957889568003
"BRA",2019,2696748.79925482847989378,1610956854.650230096467305
"BRA",2020,3291391.78652611679824050,1903414739.715188146072961
"BRA",2021,2991909.30595056194270613,1985684942.874447296302758
"BRA",2022,3308930.39154352694405858,2202634112.882891884479293
"BRA",2023,2806057.58670083973249903,1801569589.959034421905382
